Country,Code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,mean
Costa Rica,CRI,,,,,,,47.1806488,49.32593155,50.00925827,53.03866959,53.62966156,53.99481964,55.61333084,51.19649824
Caribbean small states,CSS,16.88261986,16.89856911,18.10515022,19.62068939,20.06440926,21.42765999,21.21389961,22.4184494,21.89916039,22.01017952,22.02985001,22.14818001,,20.39323473
Cuba,CUB,62.47085953,87.12728882,106.5438232,118.3337326,115.0093307,95.25447845,80.93686676,63.48611069,48.80078888,40.54100037,35.85375977,34.0593605,40.27985001,74.03478336
Curacao,CUW,,,,,,,,,21.44322014,,,,,21.44322014
Cyprus,CYP,33.22082138,33.41991043,36.17380905,42.61800003,52.00389099,48.31158066,46.53973007,45.86359024,47.52524185,53.10435104,60.10123062,,,45.35292331
Czech Republic,CZE,48.34790039,50.13497925,54.18162918,58.07096863,61.07872009,63.9482193,65.568367,65.65735626,65.06021118,65.5925293,64.45735168,63.7466011,,60.48706945
Germany,DEU,,,,,,,,,60.45928955,64.18444061,66.27722168,68.32750702,,64.81211472
Djibouti,DJI,2.299849987,2.52312994,2.728569984,2.7541399,3.443799973,3.455699921,5.017280102,,,,,,,3.174638544
Denmark,DNK,80.37451172,79.01963043,78.55219269,75.68183899,74.28328705,73.59622192,76.75834656,79.10968781,80.93441772,81.03408813,82.13378906,81.05674744,,78.54456329
Dominican Republic,DOM,,,,,,,,48.62900162,,49.31927109,51.74710846,54.49900055,59.91558838,51.04859543
Algeria,DZA,20.74621964,21.20896912,23.45856094,,29.76292992,29.76952934,31.12671089,32.14632034,33.8728714,34.49813843,36.81850052,42.66368866,47.72092819,30.55203993
East Asia & Pacific (excluding high income),EAP,19.58905029,20.46784973,21.06578064,21.65139961,23.19997025,24.69179916,25.98804092,28.30658913,30.77235031,37.40724182,40.10445023,42.14390945,43.83185959,27.94903596
Early-demographic dividend,EAR,15.28075027,16.08923912,17.39473915,19.04369926,20.15885925,21.83058929,24.49253082,26.09972,26.58246994,27.87890053,29.16139984,29.96571922,30.18386078,22.83155139
East Asia & Pacific,EAS,23.26898003,24.04784012,24.52630997,25.03199959,26.4889698,27.9656105,29.35070992,31.66389084,34.13993073,40.45767975,43.0610199,45.04661179,46.69284821,31.25412941
Europe & Central Asia (excluding high income),ECA,51.44889069,53.31933975,54.65045166,55.57696152,56.61724854,57.8345108,58.62060928,59.51034927,61.61862946,63.36294174,64.67030334,67.15395355,68.00714111,58.69868247
Europe & Central Asia,ECS,55.74771118,57.12617111,57.98960114,58.69261932,59.77072906,61.27779007,62.37720108,63.15969849,64.17028046,65.41806793,66.28872681,68.13796997,68.56343079,61.67971388
Ecuador,ECU,,,,38.68386078,,,,39.86394882,40.48099899,,45.54912949,,,41.14448452
"Egypt, Arab Rep.",EGY,29.36244011,29.02861977,29.25359917,28.8773098,29.35124016,30.21445084,25.86771965,26.91198921,29.49581909,30.76741028,35.1264801,34.43619156,,29.89110581
Euro area,EMU,60.14733887,61.09019852,61.39072037,62.07870102,63.1629715,65.06343079,67.03632355,67.97535706,68.56199646,70.27018738,71.17523193,72.50180817,72.50180817,65.8711888
Eritrea,ERI,,,,,2.087369919,2.532910109,,,,2.793329954,2.451200008,2.292469978,,2.431455994
Spain,ESP,67.11712646,68.51603699,69.52484894,71.14672852,73.54173279,78.47265625,83.20722198,85.34322357,86.87117767,88.8806076,89.48473358,91.17636871,,79.44020526
Estonia,EST,67.91280365,67.86591339,67.67806244,66.45414734,66.65139771,68.20001984,70.36908722,72.33171082,73.81430054,73.15847778,72.04895782,71.39044952,,69.82294401
Ethiopia,ETH,2.747610092,,,3.530100107,5.237110138,7.318510056,7.744900227,8.133350372,,8.122309685,,,,6.119127239
European Union,EUU,59.61254883,60.79500961,61.51794815,62.4031105,63.6538887,65.17877197,66.22750092,66.39808655,66.03621674,66.74298859,67.14671326,68.35836029,68.35836029,64.50592868
Fragile and conflict affected situations,FCS,9.144539833,9.573189735,9.910329819,10.51731014,10.89818001,11.21866989,11.16343021,11.60375023,11.86579037,12.26513958,12.29518986,12.18354988,12.2234602,11.0532558
Finland,FIN,91.67925262,93.15744781,93.75849152,94.69097137,91.29122162,93.44924927,94.92138672,92.88907623,91.00518036,88.88372803,87.68063354,86.99201965,,91.69988823
France,FRA,53.88233185,53.87541962,52.94754028,52.47552109,52.77310181,54.8817215,55.62572861,57.90901184,59.8487587,61.77349854,62.77362823,64.44133759,,56.93396664
United Kingdom,GBR,58.99816132,59.07963943,58.59780121,56.79938889,58.11220169,59.18292999,59.4358902,59.84067917,57.6064682,57.27000046,57.29489136,59.40597153,,58.46866862
Georgia,GEO,45.92293167,37.43413162,36.63547134,34.1831398,25.72257996,29.19868088,31.43252945,29.69363976,35.64685059,40.62316895,45.6138382,51.88275909,57.52793121,36.99914344
Ghana,GHA,5.872839928,5.264510155,6.511529922,8.630519867,9.01088047,,12.09263039,12.2321701,14.02970028,15.57371998,15.83590984,15.66994953,16.16358948,10.97494186
Guinea,GIN,2.873660088,5.024779797,7.833240032,8.969010353,9.131560326,10.44050026,10.64375973,10.17368031,10.72574997,11.25905037,,,,8.707499123
"Gambia, The",GMB,,,,,,2.168889999,3.407680035,3.093719959,,,,,,2.890096664
